City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
317,Zhangye,CN,57.47,scattered clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
320,Mount Gambier,AU,64.4,overcast clouds,-37.83,140.77,Commodore on the Park
328,Lexington,US,64.4,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
330,Los Llanos De Aridane,ES,66.2,clear sky,28.66,-17.92,Valle Aridane
333,Teguise,ES,64.4,clear sky,29.06,-13.56,B&B La Casona de Nazaret
342,Namibe,AO,68.59,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
344,Hokitika,NZ,56.19,few clouds,-42.72,170.97,Beachfront Hotel Hokitika
345,Farmington,US,55.4,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
348,Guerrero Negro,MX,66.58,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
350,Marsa Matruh,EG,62.6,clear sky,31.35,27.25,Beau Site
351,Roma,US,57.99,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
352,Richards Bay,ZA,69.69,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
353,Hanzhong,CN,66.49,broken clouds,33.07,107.03,Guorui Hotel
357,Mizan Teferi,ET,63.25,broken clouds,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
360,Illintsi,UA,50.0,clear sky,49.1,29.22,Imperia
361,Syke,DE,51.01,clear sky,52.9,8.83,ReVital & Wohlfühlhotel Steimker Hof
364,Karak,JO,55.4,haze,31.17,35.75,Cairwan Hotel
368,Corinto,GR,62.6,clear sky,37.94,22.96,Ephira Hotel
370,Te Anau,NZ,56.3,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
375,Malvern,US,70.0,clear sky,34.36,-92.81,Americas Best Value Inn Malvern
377,Murray Bridge,AU,63.0,light rain,-35.12,139.27,Balcony On Sixth Lodge
378,Tsuruoka,JP,62.6,light intensity shower rain,38.72,139.82,Hotel Route-Inn Tsuruoka Inter
380,Rumphi,MW,67.71,clear sky,-11.02,33.86,Country Annex Motel
382,Ahipara,NZ,67.39,few clouds,-35.17,173.17,Ahipara Holiday Park
384,Tawang,IN,63.37,few clouds,27.58,91.87,Hotel Mount View
399,Kuroiso,JP,62.6,light intensity shower rain,36.97,140.05,HOTEL SOUMAYA
406,Manzil Salim,TN,60.8,clear sky,35.86,8.48,mohamed ben khlil omri
412,Sabratah,LY,69.03,clear sky,32.79,12.49,مقبرة المجاهديه
413,Nakatunguru,TZ,68.0,thunderstorm,-2.12,33.07,Ukerewe Cultural Tourism
417,Port Lincoln,AU,60.49,moderate rain,-34.73,135.87,Port Lincoln Hotel
418,Ituporanga,BR,69.01,overcast clouds,-27.41,-49.6,Hotel Jacaré
422,Descalvado,BR,66.52,few clouds,-21.9,-47.62,Hotel Descalvado
427,Stirion,GR,57.99,clear sky,38.4,22.72,HOTEL ΑΣΤΕΡΙΑ
439,Kushiro,JP,57.2,mist,42.98,144.37,東横INN釧路十字街
444,Santa Maria,BR,64.71,overcast clouds,-29.68,-53.81,Hotel Morotin
445,Broken Hill,AU,68.0,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
449,Cervo,ES,51.01,scattered clouds,43.67,-7.41,Hotel Spa Galatea
453,Port Augusta,AU,62.6,thunderstorm,-32.5,137.77,Majestic Oasis Apartments
457,Kizukuri,JP,64.99,light rain,40.81,140.39,Hotel Sunroute Patio Goshogawara
458,Bambari,CF,68.63,overcast clouds,5.77,20.68,Hotel-Restaurant BIBICH
467,Lukulu,ZM,66.09,scattered clouds,-14.37,23.24,Ruth Guest House
492,Elmira,US,62.01,mist,42.09,-76.81,Holiday Inn Elmira - Horseheads
495,Liepaja,LV,55.4,overcast clouds,56.54,21.04,Promenade Hotel
496,Comitancillo,GT,66.0,overcast clouds,15.08,-91.72,Cancha de basquetbol
501,Solms,DE,57.99,overcast clouds,50.77,9.6,Landgasthof & Hotel Jossatal
504,Santa Maria Del Oro,MX,63.25,clear sky,25.93,-105.37,Hotel Palacio Del Sol
505,Puerto Baquerizo Moreno,EC,69.13,broken clouds,-0.9,-89.6,Hotel los Algarrobos
